altmetric_id,mendeley_readers,citeulikereaders,blog_users,blogs_posts_count,news_unique_users,total_posts_count,wiki_posts_count,facebook_users,facebook_posts,twitter_users,twitter_posts,other_articles,mean,rank,perc,scored_higher_than,sample_size,users_lecturer,users_student_pg,users_student_phd,users_student_doct,users_researcher,users_other,users_prof_assoc,users_prof,users_medi,users_ss,users_psych,users_earth,users_agri,users_arts,users_id,users_au,altmetric_score,altmetric_score_1y,altmetric_score_6m,altmetric_score_3m,altmetric_score_1m
1344076,2140,12,1,1,0,2,0,0,0,0,0,4748170,5.489357128,519541,89,4229028,4748170,43,466,154,353,109,158,83,1301,143,240,1,149,14,57,15,65,8.776,0,0,0,0
1349569,735,6,16,20,42,633,2,77,88,393,427,5187054,6.124128646,1112,99,5185952,5187054,4,178,36,191,47,58,37,214,7,3,1,401,4,41,4,4,826.926,38.5,17.25,15.5,0.25
1353541,938,0,2,3,1,7,1,0,0,1,1,4927782,5.849718101,145634,97,4782160,4927782,15,204,38,175,33,30,20,6,41,2,38,461,4,25,5,16,30.912,10,0,0,0
1353580,817,1,1,1,1,8,2,1,1,2,3,5187054,6.124128646,238166,95,4948871,5187054,11,208,29,160,31,47,43,6,6,2,14,610,1,31,10,9,20.816,11,3,3,3
1353911,538,46,3,5,0,11,5,0,0,1,1,5039267,5.964436998,210380,95,4829300,5039267,10,146,17,184,30,45,24,34,5,4,5,251,1,64,6,30,22.258,0.25,0.25,0,0
1354125,190,1,2,2,0,5,2,1,1,0,0,5187054,6.124128646,232479,95,4953953,5187054,7,53,6,46,10,16,7,1,64,0,21,55,31,13,4,4,21.25,3.25,0.25,0.25,0.25
1354189,1465,8,2,2,1,5,1,1,1,0,0,4842394,5.774141481,158510,96,4683868,4842394,14,480,87,309,34,97,81,150,50,852,1,265,6,72,4,25,27.442,18.192,18.192,0,0
1354910,99,0,3,4,2,15,0,1,1,7,8,5181137,6.119982068,99076,98,5082069,5181137,4,26,7,24,10,4,4,4,50,6,1,5,4,2,1,11,49.858,35.008,8,0,0
1354972,2560,31,44,54,16,833,3,28,29,584,692,5187004,6.12413708,903,99,5186147,5187004,33,818,119,587,80,162,113,367,61,786,4,859,10,163,13,90,904.558,148.7,58.638,23.8,5.05
1355039,2680,15,39,45,28,554,3,38,38,344,365,5187054,6.124128646,1138,99,5185912,5187054,18,877,106,651,78,168,117,328,8,91,2,1675,4,160,6,53,819.848,30.476,5,4.5,0
